Line,Group,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC017910,Core,-0.800555448,0.380624879,1.823075886,0.215250853,1.959258352,-3.31153552,0.103600071,1.804803295,0.222540764,-0.547019749,-0.086235631,4.327647883,-0.229431905,-0.420678138,27.21341746,1.017571364,-0.368646679,0.177369004,0.937569212,0.514264474,44.40331015,17.04516021,0.025439185
GPC018020,Core,-1.649023289,-2.888925111,3.456676321,-6.126369621,-7.027066042,-6.777231845,-1.434870098,-4.165734614,0.942657346,-1.127886876,0.005240579,4.317802973,-1.005640387,-3.858891781,152.5830805,6.176067992,0.415302335,1.14334875,-9.436682341,4.192030632,641.6252772,-26.33773941,0.0353638
GPC018160,Core,-0.622867694,-4.5224876,1.274625152,-0.739820845,0.175662508,-0.429211787,-0.144552109,0.702764956,-0.355988443,-2.429071687,0.063678929,2.884822466,-0.042448081,-1.12825805,4.431209238,-0.104729133,-0.047360337,0.205164486,-16.72634015,0.341071956,-82.75896713,36.57470928,0.006699036
GPC018220,Core,-0.795177135,-7.413400631,1.025009662,-4.156369623,-7.335399372,-6.934910439,-1.410319179,-3.809186265,0.711888115,6.369725852,0.079097354,0.119469643,-1.005640387,-0.037592048,29.10301419,1.521028206,0.261456182,0.120472934,1.82485612,0.62422127,128.0136108,-25.66940606,0.030815612
GPC018240,Core,-2.141330979,-5.844309724,4.845009655,-9.163036284,-8.005399371,-5.565160442,-1.269242481,-2.240686268,0.804195807,3.752484478,0.07714856,-3.17899189,-0.914731296,0.054476917,19.77404869,0.841717863,0.569148489,0.310015418,-15.23283615,0.436913577,-1.194722293,-21.63440607,0.031043303
GPC018610,Core,-0.548658711,0.506993486,1.777604386,-1.593874029,-1.194769904,-3.282462663,-0.217920849,0.328811001,-0.039996647,-0.807763412,-0.058089965,3.21281891,-0.231367997,-0.635203579,24.17744511,0.758875782,0.012155206,0.038280173,2.388764714,0.715068513,12.83153369,11.94828072,0.020232326
GPC018750,Core,-0.625946366,2.955690267,4.363342987,-5.218036289,-4.790399372,-5.915910442,-0.997071338,-2.077686264,-0.095804192,2.297312055,0.4138306,5.086742372,-0.005640388,-1.412419634,30.90646249,1.548614413,0.338379258,0.314846336,-1.180592578,1.454990499,320.291944,-23.00940606,0.037509981
GPC018850,Core,-0.994883524,-2.950119204,2.164667985,-5.36897919,-6.635159865,-5.90528329,-1.032604315,-1.773799344,0.364272412,2.451279206,-0.017221606,0.547980451,-0.650659016,-1.069962869,27.74006241,1.485768129,0.262342836,0.367466779,-0.681516531,1.140399755,103.3944131,-22.30998678,0.037031576
GPC019210,Core,0.442188386,-2.032045538,0.304927647,0.259988571,-1.232529088,-0.498175093,0.081338893,0.868380374,-0.247344925,-3.394981215,-0.077869557,0.541358692,0.007700126,-0.891458792,-1.530129146,-0.441902157,0.145385096,-0.094183738,-6.854009909,-0.116537412,-146.031963,32.51255177,0.006931152
GPC019440,Core,-1.835604519,-4.084613866,4.240908479,-7.88685211,-7.356556258,-9.677784317,-1.2988518,-2.628518018,0.978409667,0.360941677,-0.081625216,5.079113741,-0.988761633,-3.54570547,139.1847633,5.582823858,0.234999098,0.993706013,-14.19555823,3.841687916,481.1393685,-35.15248007,0.044507167
GPC019610,Core,-1.051216612,0.630370093,2.430485808,-2.555814294,-2.111249874,-4.95819366,-0.418357736,1.044505326,0.39595653,-0.200516054,-0.113041697,4.806172323,-0.433308658,-1.60086331,36.15508678,1.807259462,-0.125468443,0.224538099,5.446880289,1.153712924,103.4452581,-7.403610175,0.040931412
GPC019620,Core,-0.617473773,0.689630623,1.317061774,-1.611120628,-1.718637342,-2.645768511,-0.420178544,-0.311360223,0.155608117,-0.238023633,-0.088543188,3.796549246,-0.275113121,-0.814314404,29.32760137,1.209202148,-0.017033087,0.144585758,3.604340473,0.893015197,65.45464578,-2.69104057,0.022944854
